artist_name,track_name,genre,lyrics
Red Hot Chili Peppers,Can't Stop,rock,"113 ContributorsTranslationsFrançaisCan’t Stop Lyrics[Verse 1]
Can't stop, addicted to the shindig
Chop Top, he says I'm gonna win big
Choose not a life of imitation
Distant cousin to the reservation

[Verse 2]
Defunkt, the pistol that you pay for
This punk, the feelin' that you stay for
In time I want to be your best friend
East side love is living on the West End

[Verse 3]
Knocked out, but, boy, you better come to (Oh, oh-oh)
Don't die, you know, the truth as some do (Oh-oh)
Go write your message on the pavement (Oh-oh)
Burn so bright, I wonder what the wave meant

[Pre-Chorus]
White heat is screamin' in the jungle (Oh, oh-oh)
Complete the motion if you stumble (Oh-oh)
Go ask the dust for any answers (Oh-oh)
Come back strong with fifty belly dancers

[Chorus]
The world I love, the tears I drop
To be part of the wave, can't stop
Ever wonder if it's all for you?
The world I love, the trains I hop
To be part of the wave, can't stop
Come and tell me when it's time to
You might also like[Verse 4]
Sweetheart is bleeding in the snow cone
So smart, she's leadin' me to ozone
Music, the great communicator
Use two sticks to make it in the nature

[Verse 5]
I'll get you into penetration
The gender of a generation
The birth of every other nation
Worth your weight, the gold of meditation

[Verse 6]
This chapter's gonna be a close one (Oh, oh-oh)
Smoke rings, I know you're gonna blow one (Oh-oh)
All on a spaceship, persevering (Oh-oh)
Use my hands for everything but steering

[Pre-Chorus]
Can't stop the spirits when they need you (Oh, oh-oh)
Mop tops are happy when they feed you (Oh-oh)
J. Butterfly is in the treetop (Oh-oh)
Birds that blow the meaning into bebop

[Chorus]
The world I love, the tears I drop
To be part of the wave, can't stop
Ever wonder if it's all for you?
The world I love, the trains I hop
To be part of the wave, can't stop
Come and tell me when it's time to
[Bridge]
Wait a minute, I'm passin' out, win or lose
Just like you
Far more shockin' than anything I ever knew
How 'bout you?
Ten more reasons why I need somebody new
Just like you
Far more shockin' than anything I ever knew
Right on cue

[Guitar Solo]

[Verse 1]
Can't stop, addicted to the shindig
Chop Top, he says I'm gonna win big
Choose not a life of imitation
Distant cousin to the reservation

[Verse 2]
Defunkt, the pistol that you pay for (Oh, oh-oh)
This punk, the feelin' that you stay for (Oh-oh)
In time I want to be your best friend (Oh-oh)
East side love is living on the West End

[Verse 3]
Knocked out, but boy, you better come to (Oh, oh-oh)
Don't die, you know, the truth is some do (Oh-oh)
Go write your message on the pavement (Oh-oh)
Burn so bright, I wonder what the wave meant
[Verse 7]
Kick start the golden generator
Sweet talk but don't intimidate her
Can't stop the gods from engineering
Feel no need for any interfering

[Verse 8]
Your image in the dictionary
This life is more than ordinary
Can I get two, maybe even three of these?
Comin' from the space to teach you of the Pleiades

[Outro]
Can't stop the spirits when they need you
This life is more than just a read-through95Embed"
Led Zeppelin,Immigrant Song,rock,"99 ContributorsTranslationsDeutschImmigrant Song Lyrics[Intro]​
(Two, three, four)

[Chorus]
Ahh! Ahh!
We come from the land of the ice and snow
From the midnight sun where the hot springs flow

[Verse 1]
The hammer of the gods
Will drive our ships to new land
To fight the horde, sing and cry
Valhalla, I am coming

[Refrain]
On we sweep with threshing oar
Our only goal will be the western shore

[Chorus]
Ahh! Ahh!
We come from the land of the ice and snow
From the midnight sun where the hot springs flow

[Verse 2]
How soft your fields so green
Can whisper tales of gore
Of how we calmed the tides of war
We are your overlords
You might also like[Refrain]
On we sweep with threshing oar
Our only goal will be the western shore

[Verse 3]
So now you'd better stop
And rebuild all your ruins
For peace and trust can win the day
Despite of all your losing

[Outro]
Ooh ooh ooh, ooh ooh, ooh ooh
Ooh ooh ooh, ooh ooh, ooh ooh
Ooh ooh ooh, ooh ooh, ooh ooh
Ah, ah
Ooh ooh ooh, ooh ooh, ooh ooh
Ooh ooh ooh, ooh ooh, ooh ooh58Embed"
David Bowie,Heroes,rock,"113 ContributorsTranslationsCatalàDeutschEspañol“Heroes” Lyrics[Verse 1]
I, I will be king
And you, you will be queen

[Chorus]
Though nothing will drive them away
We can beat them, just for one day
We can be heroes, just for one day

[Verse 2]
And you, you can be mean
And I, I'll drink all the time
'Cause we're lovers, and that is a fact
Yes, we're lovers, and that is that

[Chorus]
Though nothing will keep us together
We could steal time, just for one day
We can be heroes, forever and ever
What d'you say?
[Verse 3]
I, I wish you could swim
Like the dolphins, like dolphins can swim

[Chorus]
Though nothing, nothing will keep us together
We can beat them forever and ever
Oh, we can be heroes, just for one day
You might also like[Verse 1]
I, I will be king
And you, you will be queen

[Chorus]
Though nothing will drive them away
We can be heroes, just for one day
We can be us, just for one day
[Verse 4]
I, I can remember (I remember)
Standing by the wall (By the wall)
And the guns shot above our heads (Over our heads)
And we kissed as though nothing could fall (Nothing could fall)

[Chorus]
And the shame was on the other side
Oh, we can beat them forever and ever
Then we can be heroes, just for one day

[Bridge]
We can be heroes
We can be heroes
We can be heroes, just for one day
We can be heroes
[Chorus]
We are nothing, and nothing will help us
Maybe we're lying, then you better not stay
But we could be safer, just for one day

[Outro]
Oh-oh-oh-oh
Oh-oh-oh-oh
Just for one day87Embed"
Matchbox Twenty,Push,rock,"36 ContributorsPush Lyrics[Verse 1]
She said, ""I don't know if I've ever been good enough
I'm a little bit rusty
And I think my head is cavin' in
And I don't know if I've ever been really loved
By a hand that's touched me
And I feel like something's gonna give
And I'm a little bit angry""

[Pre-Chorus]
Well, this ain't over
No, not here
Not while I still need you around
You don't owe me
We might change, yeah
Yeah, we just might feel good

[Chorus]
I wanna push you around
Well, I will, well, I will
I wanna push you down
Well, I will, well, I will
I wanna take you for granted
Well, I wanna take you for granted
Yeah, I will, I will
You might also like[Post-Chorus]
I will

[Verse 2]
She said, ""I don't know why you ever would lie to me
Like I'm a little untrustin'
When I think that the truth is gonna hurt ya
And I don't know why you couldn't just stay with me
You couldn't stand to be near me
When my face don't seem to wanna shine
'Cause it's a little bit dirty""

[Pre-Chorus]
Well, well, don't just stand there
Say nice things to me
'Cause I've been cheated, I've been wronged
And you, you don't know me
Yeah, well, I can't change, oh
Well, I won't do anything at all

[Chorus]
I wanna push you around
Well, I will, well, I will
I wanna push you down
Well, I will, well, I will
I wanna take you for granted
Yeah, I wanna take you for granted
Yeah, I will, I will
[Bridge]
Oh, but don't bowl me over
Just wait a minute, well, it kinda fell apart
Things get so crazy, crazy
Don't rush this, baby
Don't rush this, baby, baby

[Chorus]
I wanna push you around
Well, I will, well, I will
I wanna push you down
Well, I will, well, I will
I wanna take you for granted, yeah, yeah, yeah
I wanna take you, take you
Yeah, well, I will

[Outro]
And I will, I will, I will, yeah
Well, I will, I will, I will, yeah, yeah
Push you around and drag you down
I wanna push you around
Well, I will11Embed"
Van Halen,Jump,rock,"62 ContributorsJump Lyrics[Intro]
Ow!

[Verse 1]
I get up, and nothing gets me down
You got it tough, I've seen the toughest around
And I know, baby, just how you feel
You got to roll with the punches to get to what's real

[Pre-Chorus]
Oh, can't you see me standing here?
I got my back against the record machine
I ain't the worst that you've seen
Oh, can't you see what I mean?

[Chorus]
Ah, might as well jump (Jump!)
Might as well jump
Go ahead and jump (Jump!)
Go ahead and jump

[Verse 2]
Hello! Hey, you! Who said that?
Baby, how you been?
You say you don't know
You won't know until you begin
You might also like[Pre-Chorus]
So can't you see me standing here?
I've got my back against the record machine
I ain't the worst that you've seen
Oh, can't you see what I mean?

[Chorus]
Ah, might as well jump (Jump!)
Go ahead and jump
Might as well jump (Jump!)
Go ahead and jump

[Post-Chorus]
Jump!
[Guitar Solo]

[Keyboard Solo]

[Chorus]
Might as well jump (Jump!)
Go ahead and jump
Get it and jump (Jump!)
Go ahead and jump
[Outro]
Jump
Jump
Jump
Jump19Embed"
Blur,Song 2,rock,"113 ContributorsTranslationsDeutschFrançaisSong 2 Lyrics[Intro]
Woo-hoo
Woo-hoo
Woo-hoo
Woo-hoo

[Verse 1]
I got my head checked
By a jumbo jet
It wasn't easy
But nothing is, no

[Chorus]
(Woo-hoo) When I feel heavy metal
(Woo-hoo) And I'm pins and I'm needles
(Woo-hoo) Well, I lie and I'm easy
All of the time, but I'm never sure why I need you
Pleased to meet you
[Verse 2]
I got my head done
When I was young
It's not my problem
It's not my problem

[Chorus]
(Woo-hoo) When I feel heavy metal
(Woo-hoo) And I'm pins and I'm needles
(Woo-hoo) Well, I lie and I'm easy
All of the time, but I'm never sure why I need you
Pleased to meet you
You might also like[Outro]
Yeah-yeah
Yeah-yeah
Yeah-yeah
Oh, yeah32Embed"
ZZ Top,La Grange,rock,"47 ContributorsLa Grange Lyrics[Verse 1]
Rumor spreading round in that Texas town
About that shack outside La Grange
And you know what I'm talking about
Just let me know if you wanna go
To that home out on the range
They gotta lotta nice girls
Have mercy
A-haw haw haw-haw
Heh, a-haw haw-haw

[Verse 2]
Well, I hear it's fine if you got the time
And the ten to get yourself in
A hmm, hmm
And I hear it's tight most every night
But now I might be mistaken
Hmm, hmm, hmm
Have mercy

[Instrumental Outro: 1:13-3:50]See ZZ Top LiveGet tickets as low as $55You might also like3Embed"
Eagles,Hotel California,pop,
The Doors,Riders on the Storm,rock,"73 ContributorsRiders on the Storm Lyrics[Instrumental Intro]

[Chorus]
Riders on the storm, riders on the storm
Into this house we're born, into this world we're thrown
Like a dog without a bone, an actor out on loan
Riders on the storm

[Verse 1]
There's a killer on the road, his brain is squirmin' like a toad
Take a long holiday, let your children play
If you give this man a ride, sweet family will die
Killer on the road, yeah

[Instrumental Break]
[Guitar Solo]

[Verse 2]
Girl, you gotta love your man, girl, you gotta love your man
Take him by the hand, make him understand
The world on you depends, our life will never end
Gotta love your man, yeah

[Instrumental Break]

[Electric Piano Solo]
You might also like[Chorus]
Riders on the storm, riders on the storm
Into this house we're born, into this world we're thrown
Like a dog without a bone, an actor out on loan
Riders on the storm

[Outro]
Riders on the storm, riders on the storm
Riders on the storm, riders on the storm

[Instrumental Outro]54Embed"
Iron Maiden,Run to the Hills,rock,"63 ContributorsTranslationsDeutschRun to the Hills Lyrics[Intro]
White man came across the sea
He brought us pain and misery
He killed our tribes, he killed our creed
He took our game for his own need
We fought him hard, we fought him well
Out on the plains we gave him hell
But many came, too much for Cree
Oh, will we ever be set free?

[Verse 1]
Riding through dust clouds and barren wastes
Galloping hard on the plains
Chasing the redskins back to their holes
Fighting them at their own game
Murder for freedom, the stab in the back
Women and children are cowards, attack

[Chorus]
Run to the hills, run for your lives
Run to the hills, run for your lives

[Verse 2]
Soldier blue in the barren wastes
Hunting and killing's their game
Raping the women and wasting the men
The only good Indians are tame
Selling them whiskey and taking their gold
Enslaving the young and destroying the old
See Iron Maiden LiveGet tickets as low as $35You might also like[Chorus]
Run to the hills, run for your lives
Run to the hills, run for your lives
[Guitar Solo]

[Outro]
Run to the hills, run for your lives
Run to the hills, run for your lives
Run to the hills, run for your lives
Run to the hills, run for your lives27Embed"
